serializer,version,iterations,size,time
thrift-binary,0.12.0,100000,17017,6076
thrift-compact,0.12.0,100000,13378,9421
protobuf,3007000,100000,16116,5367
capnproto,7000,100000,17768,1409
boost,107000,100000,17470,3211
msgpack,3.0.1,100000,13402,18996
cereal,,100000,17416,2481
flatbuffers,1.10.0,100000,17632,2211
yas,7.0.2,100000,17416,729
yas-compact,7.0.2,100000,13321,7445
nlohmann_text,,100000,19249,215282
nlohmann_bson,,100000,19409,241231
nlohmann_cbor,,100000,13523,163639
nlohmann_msgpack,,100000,13414,164252
nlohmannubjson,,100000,13668,168257
